time,seconds_elapsed,y,z,x
1761558693520878600,0.246878662109375,-0.0002680000034160912,-0.0009919999865815043,-0.003011999884620309
1761558693542305800,0.268305908203125,-0.0031500000040978193,-0.001706999959424138,0.0023380001075565815
1761558693552285200,0.27828515625,-0.0031500000040978193,-0.001706999959424138,0.0023380001075565815
1761558693562294800,0.288294677734375,-0.004920000210404396,-0.0008079999824985862,0.00342700001783669
1761558693572304600,0.2983046875,-0.004920000210404396,-0.0008079999824985862,0.00342700001783669
1761558693582284000,0.308283935546875,0.0029319999739527702,-0.0038129999302327633,0.00040099999750964344
1761558693592293600,0.318293701171875,0.0029319999739527702,-0.0038129999302327633,0.00040099999750964344
1761558693602303500,0.328303466796875,-0.2291180044412613,0.30226799845695496,0.4139449894428253
1761558693612282600,0.33828271484375,-0.2291180044412613,0.30226799845695496,0.4139449894428253
1761558693622292500,0.34829248046875,-1.323868989944458,-1.4388689994812012,3.022125005722046
1761558693642281500,0.368281494140625,-4.401158809661865,-9.241013526916504,11.230867385864258
1761558693652291300,0.378291259765625,-4.401158809661865,-9.241013526916504,11.230867385864258
1761558693662301200,0.38830126953125,-7.745629787445068,-17.711788177490234,19.602725982666016
1761558693672280300,0.3982802734375,-7.745629787445068,-17.711788177490234,19.602725982666016
1761558693682290200,0.408290283203125,-8.053180694580078,-17.281585693359375,18.0892333984375
1761558693692299800,0.4182998046875,-8.053180694580078,-17.281585693359375,18.0892333984375
1761558693702279200,0.428279052734375,-6.473996162414551,-11.435628890991211,11.44195556640625
1761558693712289000,0.4382890625,-6.473996162414551,-11.435628890991211,11.44195556640625
1761558693722298600,0.448298583984375,-5.146448135375977,-6.868834972381592,6.499414920806885
1761558693732277800,0.45827783203125,-5.146448135375977,-6.868834972381592,6.499414920806885
1761558693742287600,0.46828759765625,-4.2320451736450195,-4.0692009925842285,3.517313003540039
1761558693752297500,0.47829736328125,-4.2320451736450195,-4.0692009925842285,3.517313003540039
1761558693762307300,0.488307373046875,-3.7537519931793213,-2.5606648921966553,1.8717379570007324
1761558693772286500,0.498286376953125,-3.7537519931793213,-2.5606648921966553,1.8717379570007324
1761558693782296300,0.50829638671875,-3.1700809001922607,-1.6964110136032104,0.9687770009040833
1761558693792306000,0.518305908203125,-3.1700809001922607,-1.6964110136032104,0.9687770009040833
1761558693802285300,0.528285400390625,-2.6790339946746826,-1.2734320163726807,0.528331995010376
1761558693812295200,0.538295166015625,-2.6790339946746826,-1.2734320163726807,0.528331995010376
1761558693822304800,0.5483046875,-2.268634080886841,-1.0567530393600464,0.32107698917388916
1761558693832284200,0.5582841796875,-2.268634080886841,-1.0567530393600464,0.32107698917388916
1761558693842293800,0.568293701171875,-1.9394149780273438,-0.9297509789466858,0.22418400645256042
1761558693852303600,0.5783037109375,-1.9394149780273438,-0.9297509789466858,0.22418400645256042
1761558693862282800,0.58828271484375,-1.678128957748413,-0.8460559844970703,0.1818999946117401
1761558693872292600,0.598292724609375,-1.678128957748413,-0.8460559844970703,0.1818999946117401
1761558693882302500,0.608302490234375,-1.4716769456863403,-0.7859789729118347,0.16715499758720398
1761558693902291500,0.62829150390625,-1.3061779737472534,-0.7410529851913452,0.1609860062599182
1761558693912301000,0.638301025390625,-1.3061779737472534,-0.7410529851913452,0.1609860062599182
1761558693922280400,0.648280517578125,-1.156067967414856,-0.7168239951133728,0.1516290009021759
1761558693932290000,0.6582900390625,-1.156067967414856,-0.7168239951133728,0.1516290009021759
1761558693942300000,0.6682998046875,-1.0054370164871216,-0.7140920162200928,0.13260899484157562
1761558693952279300,0.678279296875,-1.0054370164871216,-0.7140920162200928,0.13260899484157562
1761558693962289000,0.688288818359375,-0.8606879711151123,-0.7175999879837036,0.10068000108003616
1761558693972298800,0.698298828125,-0.8606879711151123,-0.7175999879837036,0.10068000108003616
1761558693982278000,0.70827783203125,-0.7344380021095276,-0.7120059728622437,0.06030799821019173
1761558693992287700,0.718287841796875,-0.7344380021095276,-0.7120059728622437,0.06030799821019173
1761558694002297300,0.72829736328125,-0.6303390264511108,-0.6956620216369629,0.030446000397205353
1761558694012307200,0.73830712890625,-0.6303390264511108,-0.6956620216369629,0.030446000397205353
1761558694022286600,0.74828662109375,-0.5471330285072327,-0.6740999817848206,0.03113500028848648
1761558694032296200,0.758296142578125,-0.5471330285072327,-0.6740999817848206,0.03113500028848648
1761558694042306000,0.76830615234375,-0.49010398983955383,-0.6451849937438965,0.06160600110888481
1761558694052285200,0.77828515625,-0.49010398983955383,-0.6451849937438965,0.06160600110888481
1761558694062295000,0.788294921875,-0.46089598536491394,-0.6050829887390137,0.10424000024795532
1761558694072305000,0.798304931640625,-0.46089598536491394,-0.6050829887390137,0.10424000024795532
1761558694082284000,0.808283935546875,-0.4512979984283447,-0.5557010173797607,0.14004600048065186
1761558694092294000,0.8182939453125,-0.4512979984283447,-0.5557010173797607,0.14004600048065186
1761558694102303700,0.8283037109375,-0.4485659897327423,-0.5022739768028259,0.15959499776363373
1761558694112283000,0.838282958984375,-0.4485659897327423,-0.5022739768028259,0.15959499776363373
1761558694122292700,0.848292724609375,-0.4390999972820282,-0.45303401350975037,0.162540003657341
1761558694132302300,0.85830224609375,-0.4390999972820282,-0.45303401350975037,0.162540003657341
1761558694142281700,0.86828173828125,-0.4146589934825897,-0.41506901383399963,0.15205100178718567
1761558694152291300,0.878291259765625,-0.4146589934825897,-0.41506901383399963,0.15205100178718567
1761558694162301200,0.88830126953125,-0.37232598662376404,-0.3912520110607147,0.1314689964056015
