time,seconds_elapsed,y,z,x
1761509930389405000,0.359405029296875,0.3230963349342346,3.4116196632385254,-6.259333610534668
1761509930406220300,0.37622021484375,-0.12786614894866943,4.308265686035156,-6.342804431915283
1761509930416230100,0.386230224609375,-0.4518755376338959,4.890464782714844,-6.4240593910217285
1761509930426239700,0.39623974609375,-0.7248595356941223,5.544632911682129,-6.433330535888672
1761509930436219100,0.40621923828125,-1.0055707693099976,6.09180212020874,-6.455122947692871
1761509930446228700,0.416228759765625,-1.2012910842895508,6.72498083114624,-6.541882514953613
1761509930456238600,0.426238525390625,-1.3053233623504639,7.294998645782471,-6.526228427886963
1761509930466218000,0.436218017578125,-1.3803489208221436,7.592016220092773,-6.416568279266357
1761509930476227600,0.4462275390625,-1.375375509262085,7.921959400177002,-6.303478717803955
1761509930486237400,0.456237548828125,-1.3203848600387573,8.042901039123535,-6.262391567230225
1761509930495902000,0.46590185546875,-1.1904906034469604,8.080218315124512,-6.118780612945557
1761509930506226400,0.476226318359375,-1.0458683967590332,8.030485153198242,-5.967185974121094
1761509930516236300,0.486236328125,-0.7988076210021973,8.111028671264648,-5.973537921905518
1761509930526215400,0.49621533203125,-0.6100516319274902,8.270517349243164,-6.109906196594238
1761509930536225300,0.506225341796875,-0.3864472210407257,8.40011978149414,-6.183408260345459
1761509930546235100,0.516235107421875,-0.09781759977340698,8.514717102050781,-6.105917453765869
1761509930556214300,0.52621435546875,0.3092978596687317,8.662363052368164,-5.936362266540527
1761509930566224100,0.53622412109375,0.6883954405784607,8.639012336730957,-5.738796234130859
1761509930576233700,0.546233642578125,1.0415828227996826,8.822992324829102,-5.599581718444824
1761509930586213000,0.556213134765625,1.4377615451812744,9.558965682983398,-5.531372547149658
1761509930596222700,0.56622265625,1.766077995300293,11.094476699829102,-5.685184955596924
1761509930606232600,0.576232666015625,2.095205307006836,13.389820098876953,-6.283170223236084
1761509930616242200,0.5862421875,2.442352533340454,18.07769203186035,-6.796377658843994
1761509930626221600,0.5962216796875,2.4893736839294434,23.6936092376709,-7.695335388183594
1761509930636231200,0.606231201171875,3.0120768547058105,29.87253761291504,-8.941866874694824
1761509930646241000,0.616240966796875,4.038801193237305,35.35450744628906,-9.730342864990234
1761509930656220200,0.62622021484375,5.659241199493408,38.19047927856445,-9.241656303405762
1761509930666230000,0.63622998046875,6.747674465179443,40.20842361450195,-8.624979972839355
1761509930676240000,0.646239990234375,6.5113725662231445,42.11513137817383,-7.399688720703125
1761509930686219000,0.656218994140625,4.529107093811035,44.66878890991211,-6.10338830947876
1761509930695914000,0.6659140625,2.601407289505005,46.2056884765625,-5.657074928283691
1761509930706238500,0.676238525390625,1.816040277481079,46.098018646240234,-5.520204544067383
1761509930716217900,0.6862177734375,2.191662073135376,45.21113967895508,-5.235071182250977
1761509930726227500,0.6962275390625,2.811343193054199,43.44744873046875,-4.936587333679199
1761509930736237300,0.7062373046875,3.1320793628692627,39.759193420410156,-5.194977760314941
1761509930746216400,0.716216552734375,3.0148720741271973,35.159793853759766,-5.80535364151001
1761509930756226300,0.726226318359375,2.8089089393615723,30.193735122680664,-6.333034515380859
1761509930766236200,0.736236083984375,2.6737306118011475,24.918434143066406,-6.718844890594482
1761509930776215300,0.74621533203125,2.410449981689453,20.417682647705078,-6.730374813079834
1761509930786225200,0.75622509765625,2.1445226669311523,16.273149490356445,-6.054962635040283
1761509930796234800,0.76623486328125,1.7294731140136719,13.524568557739258,-5.184225559234619
1761509930806214100,0.776214111328125,1.1355042457580566,11.249937057495117,-4.799215316772461
1761509930816223700,0.7862236328125,0.549875795841217,9.145634651184082,-4.654214382171631
1761509930826233600,0.796233642578125,-0.00700145959854126,7.458103656768799,-4.6741790771484375
1761509930836213000,0.806212890625,-0.3221451938152313,5.920816421508789,-4.609582424163818
1761509930846222600,0.81622265625,-0.24133920669555664,4.8992838859558105,-4.610073089599609
1761509930856232400,0.826232421875,0.31477081775665283,4.317069053649902,-4.840056419372559
1761509930866242300,0.8362421875,0.7557522654533386,4.086724281311035,-5.114027500152588
1761509930876221400,0.846221435546875,1.2853400707244873,4.180244445800781,-5.5381927490234375
1761509930886231300,0.856231201171875,1.6148602962493896,4.345643043518066,-5.654393196105957
1761509930895895600,0.8658955078125,1.7259678840637207,4.518917083740234,-5.6979780197143555
1761509930906220300,0.87622021484375,1.627952218055725,4.964601993560791,-5.700239658355713
1761509930916230000,0.88622998046875,1.3045952320098877,5.3109002113342285,-5.643857955932617
1761509930926239700,0.89623974609375,0.7808206677436829,5.908620834350586,-5.846059799194336
1761509930936219100,0.90621923828125,0.11500555276870728,6.448973178863525,-6.019623756408691
1761509930946228700,0.916228759765625,-0.25583159923553467,6.94014835357666,-5.993206977844238
1761509930956238600,0.926238525390625,-0.3451732397079468,7.200873374938965,-6.002903461456299
1761509930966217700,0.9362177734375,-0.5854327082633972,7.138415336608887,-6.328573703765869
1761509930976227600,0.9462275390625,-0.8261219263076782,7.341470718383789,-6.418286323547363
1761509930986237400,0.956237548828125,-1.0535905361175537,7.809326171875,-6.535943508148193
1761509930996216600,0.966216552734375,-1.1347861289978027,7.837311267852783,-6.419165134429932
1761509931006226400,0.976226318359375,-1.0150096416473389,7.793985843658447,-6.023459434509277
1761509931016236000,0.986236083984375,-0.8373247385025024,7.6757001876831055,-5.637684345245361
1761509931026215400,0.99621533203125,-0.7895619869232178,7.614156246185303,-5.526948928833008
1761509931036225000,1.00622509765625,-0.7727351188659668,7.799992561340332,-5.390023231506348
