time,seconds_elapsed,y,z,x
1761507715830226200,0.32822607421875,0.35733890533447266,-0.024939298629760742,0.06340163946151733
1761507715843628500,0.341628662109375,0.4293680191040039,-0.06773650646209717,0.0703505277633667
1761507715853638400,0.351638427734375,0.4364042282104492,-0.11038577556610107,0.05636310577392578
1761507715863617500,0.361617431640625,0.4074583053588867,-0.15287643671035767,0.006376802921295166
1761507715873688600,0.3716884765625,0.37151050567626953,-0.13036644458770752,-0.008577883243560791
1761507715883606500,0.3816064453125,0.3935546875,-0.10201334953308105,0.02034848928451538
1761507715893646800,0.391646728515625,0.3716115951538086,-0.12957286834716797,0.020278334617614746
1761507715903626200,0.401626220703125,0.35062408447265625,-0.08643150329589844,0.06330639123916626
1761507715913666600,0.41166650390625,0.3716468811035156,-0.1012502908706665,0.0852733850479126
1761507715923615200,0.421615234375,0.44368457794189453,-0.12904834747314453,0.09908807277679443
1761507715933686000,0.43168603515625,0.42272090911865234,-0.12183374166488647,0.07794082164764404
1761507715943604200,0.441604248046875,0.34369945526123047,-0.12892210483551025,0.05608314275741577
1761507715953675000,0.451675048828125,0.3076763153076172,-0.12894165515899658,0.02731490135192871
1761507715963623700,0.461623779296875,0.2857027053833008,-0.06507658958435059,0.02684551477432251
1761507715973694500,0.471694580078125,0.32170963287353516,-0.022423267364501953,0.04132586717605591
1761507715983612700,0.48161279296875,0.39366817474365234,-0.04343760013580322,0.03378760814666748
1761507715993683500,0.491683349609375,0.43666934967041016,-0.12215262651443481,0.0631418228149414
1761507716003601700,0.5016015625,0.44376659393310547,-0.17162132263183594,0.055695295333862305
1761507716013672400,0.51167236328125,0.41484546661376953,-0.14315223693847656,0.026369750499725342
1761507716023621400,0.521621337890625,0.4078502655029297,-0.10013008117675781,0.062355637550354004
1761507716033661400,0.531661376953125,0.4008331298828125,-0.08516192436218262,0.02651500701904297
1761507716043610400,0.5416103515625,0.36467742919921875,0.014033794403076172,-0.015743017196655273
1761507716053681200,0.55168115234375,0.36450958251953125,0.04205155372619629,-0.008042991161346436
1761507716063629800,0.5616298828125,0.3934488296508789,0.03431558609008789,0.034714698791503906
1761507716073670100,0.571670166015625,0.4294462203979492,-0.05192875862121582,0.042454302310943604
1761507716083618800,0.581618896484375,0.40051841735839844,-0.1098029613494873,0.07777160406112671
1761507716093689600,0.591689697265625,0.37958812713623047,-0.06691205501556396,0.11183750629425049
1761507716103607800,0.60160791015625,0.37964344024658203,-0.05162858963012695,0.10457158088684082
1761507716113709000,0.611708984375,0.35769081115722656,-0.051328063011169434,0.08340787887573242
1761507716123627300,0.621627197265625,0.3797607421875,-0.043906450271606445,0.08313459157943726
1761507716133667600,0.63166748046875,0.37982654571533203,-0.05044281482696533,0.0679621696472168
1761507716143616300,0.6416162109375,0.41480255126953125,-0.0009357929229736328,0.060621678829193115
1761507716153687000,0.65168701171875,0.36480236053466797,-0.023243069648742676,0.06023353338241577
1761507716163605200,0.661605224609375,0.3508586883544922,-0.10219717025756836,0.05964022874832153
1761507716173676000,0.671676025390625,0.32895851135253906,-0.14472723007202148,0.05209082365036011
1761507716183625000,0.681625,0.3439760208129883,-0.05042469501495361,0.05226939916610718
